"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"jaw","Linear",0.279014150450193,0.170857302872673,0.102463857705323,0.0291922179449243
"eye","Linear",0.192741895935233,0.114125453513105,0.0912462916865924,0.013024619139572
"body","Linear",0.0153547323606291,0.133897896422816,0.908702783044785,0.0179286466664552
"nasal","Linear",-0.339337473673788,0.0989569213298514,0.000605489522678826,0.0097924722790824
"mouth","Linear",0.0363142219841801,0.0992303669136721,0.714395849199006,0.00984666571782199
"SL","Linear",-0.367350987253125,0.13332513400706,0.00586380120142025,0.0177755913580004
"jaw²","Quadratic",-0.678438248047358,0.50759994103919,0.181366000135107,0.257657700142989
"eye²","Quadratic",-0.341050807900745,0.232894830173245,0.143085135326331,0.0542400019214246
"body²","Quadratic",-0.181337837995396,0.309133916975072,0.557472638457501,0.0955637786243508
"nasal²","Quadratic",0.0636645787778995,0.169274188777239,0.706840110866695,0.0286537509861924
"mouth²","Quadratic",-0.234884287058276,0.170417591481389,0.168114810931452,0.0290421554863177
"SL²","Quadratic",0.196283617209607,0.318162819717369,0.537282082198615,0.101227579850507
"jaw × eye","Correlational",-0.153894513735529,0.282354551280543,0.585726033731865,0.079724092628837
"jaw × body","Correlational",-0.372237970172324,0.326505471446002,0.25425857158155,0.106605822884176
"jaw × nasal","Correlational",-0.229893747063316,0.230424984114202,0.318427504712694,0.0530956733040305
"jaw × mouth","Correlational",0.391492484440554,0.245926890937886,0.111405835254721,0.0604800356863751
"jaw × SL","Correlational",-0.399772579452906,0.305953695604116,0.191333624901027,0.0936076638538161
"eye × body","Correlational",-0.386214353420277,0.20939389978056,0.0651191335660163,0.0438458052653111
"eye × nasal","Correlational",0.137239057876975,0.153546016823063,0.371430205549867,0.0235763792822285
"eye × mouth","Correlational",-0.0126492304954873,0.157348136540528,0.935927010261836,0.0247584360727768
"eye × SL","Correlational",-0.255399210144354,0.197023137257281,0.194875439453323,0.0388181166147015
"body × nasal","Correlational",-0.284266716926633,0.169593118642272,0.0937051073293072,0.0287618258908117
"body × mouth","Correlational",0.323690993895567,0.174879814328323,0.0641790489559551,0.0305829494595087
"body × SL","Correlational",-0.250830426087163,0.227751732125307,0.27075189189194,0.0518708514860774
"nasal × mouth","Correlational",0.232699694465584,0.138008284691705,0.0917710622817943,0.0190462866435467
"nasal × SL","Correlational",0.20679699922864,0.16749816849451,0.21697104962139,0.0280556364490152
"mouth × SL","Correlational",0.153367897818329,0.167451730011464,0.359722923197018,0.0280400818838324
